,bias,var,error
1,220.15000000000018,0.0,220.15000000000018
2,221.60000000000053,0.0,221.60000000000053
4,129.00838120137544,10.861618798624496,139.87
8,110.8670792313092,13.252920768690743,124.12000000000005
16,98.0361002875,14.223899712499962,112.26000000000013
32,86.81549551976508,15.044504480234949,101.86000000000004
64,80.78733137651076,16.59266862348925,97.38000000000011
128,76.21413496622398,18.785865033775966,95.0000000000001
256,77.23359364700868,22.066406352991322,99.30000000000021
512,76.19055247059696,24.6994475294029,100.89000000000023
