,bias,var,error
1,629.7036556726591,622.9963443273173,1252.7000000000173
2,720.3454414783039,397.1878918550115,1117.5333333333363
4,644.0513108714991,305.98202246182865,950.033333333339
8,623.892526130555,228.1408072027767,852.033333333335
16,636.8059279075146,176.09407209248286,812.900000000002
32,645.9081457481542,135.79185425184284,781.700000000001
64,649.0784430918478,110.05489024148089,759.1333333333336
128,670.2604812029476,96.53951879705022,766.8000000000006
256,673.2117197647217,85.85494690194017,759.0666666666633
512,672.7318637203521,79.20146961297539,751.9333333333327
1024,678.5969344272235,77.76973223943848,756.3666666666661
